hekayt,bab,clean_text,cluster_k5,cluster_opt,cluster_dbscan
"ملِکِ زوزَن را خواجه‌ای بود کریم‌النَّفْسِ نیک‌محضر که همگنان را در مواجهه خدمت کردی و در غیبت نکویی گفتی. اتفاقاً از او حرکتی در نظر سلطان ناپسند آمد، مصادره فرمود و عقوبت کرد؛ و سرهنگانِ ملِک به سوابقِ نعمتِ او معترف بودند و به شکرِ آن مُرتَهَن. در مدّت تَوْکیل او رِفق و ملاطفت کردندی و زجر و معاقبت روا نداشتندی. صلحِ با دشمن اگر خواهی، هر گه که تو را 
در قفا عیب کند، در نظرش تحسین کن سخن آخر به دهان می‌گذرد موذی را 
سخنش تلخ نخواهی دهنش شیرین کن آنچه مَضمونِ خِطابِ ملِک بود از عهدهٔ بعضی به در آمد و به بقیّتی در زندان بماند. آورده‌اند که یکی از ملوکِ نواحی در خُفْیَه پیامش فرستاد که ملوکِ آن طرف قدرِ چنان بزرگوار ندانستند و بی‌عزّتی کردند. اگر رایِ عزیزِ فلان، اَحْسَنَ اللهُ خَلاصَهُ، به جانب ما التفاتی کند، در رعایت خاطرش هر چه تمام‌تر سعی کرده شود و اعیانِ این مملکت به دیدار او مُفْتَقِرند و جواب این حرف را منتظر. خواجه بر این وقوف یافت و از خطر اندیشید و در حال جوابی مختصر، چنان که مصلحت دید، بر قَفای ورق نبشت و روان کرد. یکی از متعلّقان واقف شد و ملِک را اعلام کرد که فلان را که حبس فرمودی با ملوکِ نواحی مراسله دارد. ملک به‌ هم برآمد و کشفِ این خبر فرمود. قاصد را بگرفتند و رِسالت بخواندند. نبشته بود که: حسنِ ظنِّ بزرگان بیش از فضیلتِ ماست و تشریفِ قبولی که فرمودند بنده را امکانِ اجابت نیست، به حکمِ آن که پروردهٔ نعمت این خاندان است و به اندک‌ مایه تغیّر با ولی‌نعمت بی‌وفایی نتوان کرد، چنان که گفته‌اند: آن را که به جایِ توست هر دَم کَرَمی
عذرش بنه، ار کند به عمری ستمی ملک را سیرتِ حق‌شناسی از او پسند آمد و خلعت و نعمت بخشید و عذر خواست که: خطا کردم تو را بی جرم و خطا آزردن. گفت: ای خداوند! بنده در این حالت مر خداوند را خطا نمی‌بیند. تقدیرِ خداوند، تَعالیٰ بود که مر این بنده را مکروهی برسد، پس به دست تو اولی‌ٰتر، که سوابقِ نعمت بر این بنده داری و اَیادیِ منّت. و حکما گفته‌اند: گر گزندت رسد ز خلق مرنج 
که نه راحت رسد ز خلق نه رنج از خدا دان خلافِ دشمن و دوست 
کاین دلِ هر دو در تصرّفِ اوست گرچه تیر از کمان همی‌ گذرد 
از کمان‌دار بیند اهلِ خرد",1,ملک زوزن خواجهای کریمالنفس نیکمحضر همگن مواجهه خدمت کردی غیبت نکو اتفاقا حرکت سلطان ناپسند مصادره فرمود عقوبت سرهنگ ملک سوابق نعمت معترف شکر مرتهن توکیل رفق ملاطفت کردندی زجر معاقبت روا نداشتندی صلح دشمن خواهی_هر گه قفا عیب تحسین سخن آخر دهان میگذرد موذی سخن تلخ نخواهی_دهنش شیرین مضمون خطاب ملک بقیتی زندان آوردهاند ملوک نواحی خفیه پیام فرستاد ملوک قدر چنان بزرگوار بیعزتی عزیز فلان احسن الله خلاصه جانب التفات رعایت خاطر تمامتر اعیان مملکت دیدار مفتقرند جواب حرف منتظر خواجه وقوف اندیشید جواب مختصر چنانکه مصلحت قفا ورق نبشت روان متعلق واقف ملک اعلام فلان حبس فرمود ملوک نواحی مراسله ملک برآمد کشف خبر فرمود قاصد بگرفتند رسالت بخواندند نبشته حسن ظن فضیلت ماست تشریف قبولی فرمود اجابت حکم پرورده نعمت خاندان اندک مایه تغیر ولینعمت بیوفایی نتوان چنانکه گفتهاند توس دم کرمی عذر بنه ار عمر ستم ملک سیرت حقشناسی پسند خلعت نعمت بخشید عذر خواست خطا بیجرم خطا آزردن خداوند حالت مر خداوند خطا نمیبیند تقدیر خداوند تعالی مر مکروه دست سوابق نعمت ایادی منت حکما گفتهاند گزند خلق مرنج راحت خلق رنج خدا دان خلاف دشمن دوست کاین دل تصرف اوست گرچه تیر کمان گذشت کماندار اهل خرد,2,2,0
"یکی از ملوکِ عرب شنیدم که متعلّقان را همی‌گفت: مرسومِ فلان را چندان که هست مُضاعَف کنید که مُلازِمِ درگاه است و مترصّدِ فرمان؛ و دیگر خدمتکاران به لَهْو و لَعِب مشغول‌اند و در اَدایِ خدمت مُتَهاوِن. صاحب‌دلی بشنید و فریاد و خروش از نِهادش بر آمد. پرسیدندش: چه دیدی؟ گفت: مراتبِ بندگان به درگاهِ خداوند، تَعالیٰ، همین مثال دارد. دو بامداد اگر آید کسی به خدمتِ شاه
سِیُم، هرآینه در وی کند به لطف نگاه مهتری در قبولِ فرمان است 
ترکِ فرمان دلیلِ حِرمان است هر که سیمایِ راستان دارد
سَرِ خدمت بر آستان دارد",1,ملوک عرب متعلق همیگفت مرسوم فلان چندان هست مضاعف ملازم درگاه مترصد فرمان خدمتکار لهو لعب مشغولاند ادا خدمت متهاون صاحبدلی بشنید فریاد خروش نهاد پرسیدندش مراتب بندگان درگاه خداوند تعالی مثال بامداد خدمت شاه سیم هرآینه لطف نگاه مهتر قبول فرمان ترک فرمان دلیل حرمان سیما راستان سر خدمت آستان,2,9,-1
"ظالمی را حکایت کنند که هیزمِ درویشان خریدی به حَیف و توانگران را دادی به طَرْح. صاحبدلی بر او گذر کرد و گفت: ماری تو که هر که را ببینی، بزنی
یا بوم که هر کجا نشینی، بکنی زورت ار پیش می‌رود با ما 
با خداوند غیب‌دان نرود زورمندی مکن بر اهلِ زمین
تا دعایی بر آسمان نرود حاکم از گفتن او برنجید و روی از نصیحتِ او در هم کشید و بر او التفات نکرد، تا شبی که آتشِ مَطبَخ در انبارِ هیزمش افتاد و سایرِ املاکش بسوخت وز بسترِ نرمش به خاکسترِ گرم نشاند. اتّفاقاً همان شخص بر او بگذشت و دیدش که با یاران همی‌گفت: ندانم این آتش از کجا در سرایِ من افتاد؟ گفت: از دلِ درویشان. حذر کن ز دردِ درون‌هایِ ریش
که ریشِ درون عاقبت سر کند به هم بر مَکُن تا توانی دلی 
که آهی جهانی به هم بر کند بر تاجِ کیخسرو نبشته بود: چه سال هایِ فراوان و عمر‌هایِ دراز 
که خلق بر سرِ ما بر زمین بخواهد رفت چنان که دست‌ به‌ دست آمده‌ست مُلک به ما
به دست هایِ دگر هم چنین بخواهد رفت",1,ظالم حکایت هیزم درو خرید حیف توانگر طرح صاحبدلی گذر مار زد بوم کجا زور ار میرود خداوند غیبدان زورمندی مکن اهل زمین دعا آسمان حاکم گفتن برنجید نصیحت کشید التفات شب آتش مطبخ انبار هیزم املاک بسوخت وز بستر نرمش خاکستر گرم نشاند اتفاقا شخص بگذشت یار همیگفت آتش کجا سرود دل درو حذر درد ریش ریش عاقبت سر مکن توانی دل آه جهانی تاج کیخسرو نبشته فراوان عمر دراز خلق سر زمین خواست چنانکه دست دست آمدهست ملک دست دگر خواست,3,8,1
"یکی در صنعتِ کُشتی گرفتن سرآمده بود، سی‌صد و شصت بندِ فاخر بدانستی و هر روز به نوعی از آن کُشتی گرفتی. مگر گوشهٔ خاطرش با جمالِ یکی از شاگردان میلی داشت. سی‌صد و پنجاه و نُه بندش در‌آموخت مگر یک بند که در تعلیمِ آن دفع انداختی و تأخیر کردی. فی‌الجمله پسر در قوّت و صنعت سر آمد و کسی را در زمانِ او با او امکانِ مقاومت نبود تا به حدّی که پیشِ مَلِکِ آن روزگار گفته بود: استاد را فضیلتی که بر من است از رویِ بزرگیست و حقِّ تربیت؛ وگرنه به قوّت از او کمتر نیستم و به صنعت با او برابرم. مَلِک را این سخن دُشْخوار آمد. فرمود تا مُصارعت کنند. مقامی مُتَّسِع ترتیب کردند و ارکانِ دولت و اعیانِ حضرت و زورآورانِ رویِ زمین حاضر شدند. پسر چون پیلِ مست اندر‌آمد به صَدمَتی که اگر کوهِ رویین بودی از جای بر‌کندی. استاد دانست که جوان به قوّت از او برتر است؛ بدان بندِ غریب که از وی نهان داشته بود، با او در‌آویخت. پسر دفعِ آن ندانست، به هم بر‌آمد. استاد به دو دست از زمینش بالایِ سَر برد و فرو‌کوفت. غریو از خلق برخاست. ملک فرمود استاد را خلعت و نعمت دادن و پسر را زجر و ملامت کرد که با پرورندهٔ خویش دعویِ مقاومت کردی و به سر نبردی. گفت: ای پادشاهِ روی زمین! به زورآوری بر من دست نیافت بلکه مرا از علمِ کُشتی دقیقه‌ای مانده بود و همه عمر از من دریغ همی‌ داشت. امروز بدان دقیقه بر من غالب آمد. گفت: از بهرِ چنین روزی؛ که زیرکان گفته‌اند: دوست را چندان قوّت مده که دشمنی کند تواند. نشنیده‌ای که چه گفت آن که از پروردهٔ خویش جفا دید؟ یا وفا خود نبود در عالَم
یا مگر کس در این زمانه نکرد کس نیاموخت علمِ تیر از من 
که مرا عاقبت نشانه نکرد",1,صنعت کشتی گرفتن سرآمده سیصد شصت بند فاخر بدانستی روز کشتی مگر گوشه خاطر جمال شاگرد میلی سیصد پنجاه بند درآموخت مگر یکبند تعلیم دفع انداخت تأخیر کردی فیالجمله پسر قوت صنعت سر زمان مقاومت ملک روزگار استاد فضیلت بزرگیست حق تربیت وگرنه قوت کمتر نیستم صنعت ملک سخن دشخوار فرمود مصارعت مقام متسع ارکان دولت اعیان حضرت زورآوران زمین حاضر پسر پیل مست اندرآمد صدمت کوه رویین برکندی استاد جوان قوت برتر بدان بند غریب نهان درآویخت پسر دفع برآمد استاد دست زمین سر برد فروکوفت غریو خلق برخاست ملک فرمود استاد خلعت نعمت پسر زجر ملامت پرورنده دعوی مقاومت کردی سر برد پادشاه زمین زورآوری دست علم کشتی دقیق عمر دریغ امروز بدان دقیقه غالب بهر روزید زیرک گفتهاند دوست چندان قوت مده دشمن توانست نشنیدهای پرورده جفا وفا عالم مگر زمانه نیاموخت علم تیر عاقبت نشانه,2,2,0
"درویشی مجرّد به گوشه‌ای نشسته بود. پادشاهی بر او بگذشت. درویش از آنجا که فَراغِ مُلکِ قناعت است، سر بر نیاورد و التفات نکرد. سلطان از آنجا که سَطْوَتِ سلطنت است، برنجید و گفت: این طایفهٔ خرقه‌پوشان امثالِ حیوان‌اند و اهلیّت و آدمیّت ندارند. وزیر نزدیکش آمد و گفت: ای جوانمرد! سلطانِ رویِ زمین بر تو گذر کرد چرا خدمتی نکردی و شرطِ ادب به جای نیاوردی؟ گفت: سلطان را بگوی توقّعِ خدمت از کسی دار که توقّعِ نعمت از تو دارد و دیگر؛ بدان که ملوک از بهرِ پاسِ رعیّت‌اند نه رعیّت از بهرِ طاعتِ ملوک. پادشه پاسبانِ درویش است
گرچه رامِش به فَرِّ دولت اوست گوسپند از برایِ چوپان نیست
بلکه چوپان برایِ خدمتِ اوست یکی امروز کامران بینی 
دیگری را دل از مجاهده ریش روزَکی چند باش تا بخورد
خاک، مغزِ سرِ خیال‌اندیش فرقِ شاهی و بندگی برخاست 
چون قضایِ نبشته آمد پیش گر کسی خاکِ مرده باز کند
ننماید توانگر و درویش ملِک را گفتِ درویش استوار آمد. گفت: از من تمنّا بکن. گفت: آن همی‌خواهم که دگرباره زحمت من ندهی. گفت: مرا پندی بده. گفت: دریاب، کنون که نعمتت هست به‌دست 
کاین دولت و مُلک می‌رود دست به دست",1,درویش مجرد گوش پادشاه بگذشت درویش فراغ ملک قناعت سر نیاورد التفات سلطان سطوت سلطنت برنجید طایفه خرقهپوشان امثال حیواناند اهلیت آدمیت وزیر جوانمرد سلطان زمین گذر خدمت شرط ادب نیاوردی سلطان توقع خدمت توقع نعمت بدان ملوک بهر پاس رعیتاند رعیت بهر طاعت ملوک پادشه پاسبان درویش گرچه رامش فر دولت اوست گوسپند چوپان چوپان خدمت اوست امروز کامران بینی دل مجاهده ریش روزکی خورد خاک مغز سر خیالاندیش فرق شاه بندگی برخاست قضا نبشته پیشگر خاک مرده نمود توانگر درویش ملک درویش استوار تمنا بکن همیخواهم دگرباره زحمت پند بده دریاب کنون نعمت هست بهدست کاین دولت ملک میرود دست دست,2,8,0
"یکی از وزرا پیش ذوالنّون مصری رفت و همّت خواست؛ که روز و شب به خدمتِ سلطان مشغولم و به خیرش امیدوار و از عقوبتش ترسان. ذوالنّون بگریست و گفت: اگر من خدای را، عَزَّ وَ جَلَّ، چنین پرستیدمی که تو سلطان را، از جملهٔ صِدّیقان بودمی. گر نه اومید و بیمِ راحت و رنج
پایِ درویش بر فلک بودی ور وزیر از خدا بترسیدی 
هم چنان کز مَلِک، مَلَک بودی",1,وزرا ذوالنون مصر همت خواست روز شب خدمت سلطان مشغول خیر امیدوار عقوبت ترس ذوالنون بگریست خدا عز جل پرستیدمی سلطان جمله صدیق بودمی اومید بیم راحت رنج پای درویش فلک ور وزیر خدا بترسیدی چنان کز ملک ملک,2,8,-1
"پادشاهی به کشتنِ بی‌گناهی فرمان داد. گفت: ای ملِک! به موجبِ خشمی که تو را بر من است، آزارِ خود مجوی که این عقوبت بر من به یک نفس به سر آید و بَزهِ آن بر تو جاوید بماند. دورانِ بقا چو بادِ صحرا بگذشت
تلخیّ و خوشیّ و زشت و زیبا بگذشت پنداشت ستمگر که جَفا بر ما کرد 
در گردن او بماند و بر ما بگذشت ملک را نصیحت او سودمند آمد و از سر خون او در گذشت.",1,پادشاه کشتن بیگناهی فرمان ملک خشم آزار مجوی عقوبت یکنفس سر بزه جاوید دوران بقا باد صحرا بگذشت تلخ خوش زشت زیبا بگذشت پنداشت ستمگر جفا گردن بگذشت ملک نصیحت سودمند سر خون گذشت,2,2,0
"وزرایِ نوشیروان در مهمّی از مَصالحِ مملکت اندیشه همی‌ کردند و هر یکی از ایشان دگرگونه رای همی‌زدند و ملِک هم چنین تدبیری اندیشه کرد. بزرجمهر را رایِ ملِک اختیار آمد. وزیران در نهانش گفتند: رایِ ملک را چه مزیّت دیدی بر فکرِ چندین حکیم؟ گفت: به موجب آن که انجامِ کارها معلوم نیست و رایِ همگان در مشیّت است که صواب آید یا خطا، پس موافقتِ رایِ ملک اولی‌ٰتر است تا اگر خلافِ صواب آید، به علّت متابعت از مُعاتبَت ایمن باشم. خلافِ رایِ سلطان رای جُستن
به خونِ خویش باشد دست شستن اگر خود روز را گوید شب است این
بباید گفتن: آنک ماه و پروین!",1,وزرا نوشیروان مصالح مملکت اندیشه دگرگونه همیزدند ملک تدبیر اندیشه بزرجمهر ملک اختیار وزیر نهان ملک مزیت چندین حکیم انجام کار معلوم همگان مشیت صواب خطا موافقت ملک خلاف صواب متابعت معاتبت ایمن خلاف سلطان جستن خون دست شستن روز شب بباید گفتن آنک ماه پروین,2,2,0
"شیّادی گیسوان بافت که من علویم و با قافله حجاز به شهری در آمد که از حج همی‌آیم و قصیده‌ای پیش ملک برد که من گفته‌ام. نعمتِ بسیارش فرمود و اکرام کرد. تا یکی از نُدَمایِ حضرتِ پادشاه که در آن سال از سفرِ دریا آمده بود، گفت: من او را عیدِ اَضحیٰ در بصره دیدم! معلوم شد که حاجی نیست. دیگری گفتا: پدرش نَصْرانی بود در مَلَطْیه، پس او شَریف چگونه صورت بندد؟ و شعرش را به دیوان انوری دریافتند. ملک فرمود تا بزنندش و نَفْیْ کنند تا چندین دروغِ دَرهَم چرا گفت. گفت: ای خداوندِ روی زمین! یک سخنت دیگر در خدمت بگویم، اگر راست نباشد به هر عقوبت که فرمایی سزاوارم. گفت: بگو تا آن چیست؟ گفت: غریبی گرت ماست پیش آورد
دو پیمانه آب است و یک چُمْچه دوغ اگر راست می‌خواهی، از من شنو
جهان‌دیده بسیار گوید دروغ ملک را خنده گرفت و گفت: از این راست‌تر، سخن تا عمرِ او بوده باشد، نگفته است. فرمود تا آنچه مأمولِ اوست مهیّا دارند و به خوشی برود.",1,شیاد گیسو بافت علویم قافله حجاز شهر حج همیآیم قصیدهای ملک برد گفتهام نعمت فرمود اکرام ندما حضرت پادشاه سال سفر دریا عید اضحی بصره معلوم حاجی پدر نصران ملطیه شریف صورت بست شعر دیوان انوری دریافتند ملک فرمود بزنندش نفی چندین دروغ درهم خداوند زمین سخن خدمت راست عقوبت فرمود سزاوار بگو چیست غریب ماست پیمانه آب چمچه دوغ راست میخواهی شنو جهاندیده دروغ ملک خنده راستتر سخن عمر فرمود مأمول اوست مهیا خوش,2,2,0
"یکی از وزرا به زیردستان رحم کردی و صلاحِ ایشان را به خیر توسّط نمودی. اتفاقاً به خطابِ ملِک گرفتار آمد. همگنان در مَواجِبِ استخلاصِ او سعی کردند و مُوَکَّلان در مُعاقبتش ملاطفت نمودند و بزرگانْ شکرِ سیرتِ خوبش به اَفواه بگفتند تا ملک از سرِ عتابِ او درگذشت. صاحبدلی بر این اطّلاع یافت و گفت: ﺗﺎ دلِ دوﺳﺘﺎن ﺑﻪ دﺳﺖ ﺁری
ﺑﻮﺳﺘﺎنِ ﭘﺪر ﻓﺮوﺧﺘﻪ ﺑﻪ پختنِ دیگِ نیکخواهان را 
هر چه رختِ سراست سوخته به ﺑﺎ ﺑﺪاﻧﺪﻳﺶ هم ﻧﻜﻮﻳﻰ کن
دهنِ ﺳﮓ ﺑﻪ ﻟﻘﻤﻪْ دوﺧﺘﻪ ﺑﻪ",1,وزرا زیردستان رحم کردی صلاح خیر توسط نمود اتفاقا خطاب ملک گرفتار همگن مواجب استخلاص موکل معاقبتش ملاطفت نمود شکر سیرت افواه بگفتند ملک سر عتاب درگذشت صاحبدلی اطلاع دل دوستان دست اری بوستان پدر فروخته پختن دیگ نیکخواهان رخت سراست سوخته بداندیش نکو دهن سگ لقمه دوخته,2,2,0
"یکی از پسرانِ هارون‌الرَّشید پیش پدر آمد خشم‌آلود که فلان سرهنگ‌زاده مرا دشنامِ مادر داد. هارون ارکان دولت را گفت: جَزایِ چنین کس چه باشد؟ یکی اشاره به کشتن کرد و دیگری به زبان بریدن و دیگری به مصادره و نفی. هارون گفت: ای پسر! کَرَم آن است که عفو کنی و گر نتوانی تو نیزش دشنامِ مادر ده، نه چندان که انتقام از حد درگذرد. آن گاه ظلم از طرفِ ما باشد و دعوی از قِبَلِ خصم. نه مرد است آن به نزدیکِ خردمند
که با پیلِ دمان پیکار جوید بلی مرد آن کس است از رویِ تحقیق
که چون خشم آیدش، باطل نگوید",1,پسر هارونالرشید پدر خشمآلود فلان سرهنگزاده دشنام مادر هارون ارکان دولت جزا اشاره کشتن زبان بریدن مصادره نفی هارون پسر کرم عفو وگر توانست دشنام مادر ده چندان انتقام درگذرد ظلم دعوی خصم مرد خردمند پیل دمان پیکار جست بلی مرد تحقیق خشم آیدش باطل,4,6,1
"با طایفهٔ بزرگان به کشتی‌در، نشسته بودم. زَورقی در پیِ ما غرق شد، دو برادر به گِردابی در افتادند. یکی از بزرگان گفت ملاح را که: بگیر این هر دو را که به هر یکی پنجاه دینارت دهم. ملّاح در آب افتاد و تا یکی را برهانید، آن دیگر هلاک شد. گفتم: بقیّتِ عمرش نمانده بود، از این سبب در گرفتنِ او تأخیر کرد و در آن دگر تعجیل. ملاح بخندید و گفت: آنچه تو گفتی یقین است، و دگر میل خاطر من به رهانیدن این بیشتر بود که وقتی در بیابانی مانده بودم و مرا بر شتری نشاند، و از دست آن دگر تازیانه‌ای خورده‌ام در طفلی. گفتم: صَدَقَ اللهُ: مَنْ عَمِلَ صالِحاً فَلِنَفْسِهِ و مَنْ أَساءَ فَعَلَیْهٰا. تا توانی درونِ کس مخراش
کاندر این راه خارها باشد کارِ درویشِ مستمند بر آر 
که تو را نیز کارها باشد",1,طایفه کشتیدر زورق غرق برادر گرداب ملاح بگیر پنجاه دینار دهم ملاح آب برهانید هلاک بقیت عمر گرفتن تأخیر دگر تعجیل ملاح خندید یقین دگر میل خاطر رهانیدن بیابان شتر نشاند دست دگر تازیانهای خوردهام طفل صدق الله عمل صالحا فلنفسه أساء فعلی توانی مخراش کاندر خار کار درویش مستمند آر کار,3,8,1
"دو برادر یکی خدمت سلطان کردی و دیگر به زورِ بازو نان خوردی. باری، این توانگر گفت درویش را که: چرا خدمت نکنی تا از مشقّتِ کار کردن برهی؟ گفت: تو چرا کار نکنی تا از مَذَلَّتِ خدمت رهایی یابی؟ که خردمندان گفته‌اند: نانِ خود خوردن و نشستن به که کمرشمشیرِ زرّین به‌ خدمت بستن. به دست آهک تفته کردن خمیر 
به از دست بر سینه پیشِ امیر عمرِ گرانمایه در این صرف شد 
تا چه خورم صَیْف و چه پوشم شِتا ای شکم خیره به تائی بساز 
تا نکنی پشت به خدمت دو تا",1,برادر خدمت سلطان کردی زور بازو نان خورد توانگر درویش خدمت مشقت کار بره کار مذلت خدمت رهایی خردمند گفتهاند نان خوردن نشستن کمرشمشیر زرین خدمت بستن دست آهک تفته خمیر دست سینه امیر عمر گرانمایه خورد صیف پوشید شتاای شکم خیره تائی بساز خدمت,4,8,1
"کسی مژده پیش انوشیروانِ عادل آورد. گفت: شنیدم که فلان دشمنِ تو را خدای ،عَزَّ وَ جَلَّ، برداشت. گفت: هیچ شنیدی که مرا بگذاشت؟ اگر بمُرد عَدو، جایِ شادمانی نیست
که زندگانیِ ما نیز جاودانی نیست",1,مژده انوشیروان عادل فلان دشمن خدا عز جل برداشت بگذاشت بمرد عدو شادمان زندگانی جاودان,0,3,-1
"گروهی حکما به حضرتِ کسریٰ در، به مصلحتی سخن همی‌ گفتند و بزرگمهر که مهترِ ایشان بود خاموش. گفتندش: چرا با ما در این بحث سخن نگویی؟ گفت: وزیران بر مثالِ اطبّااند و طبیب دارو ندهد جز سَقیم را. پس چو بینم که رای شما بر صواب است، مرا بر سرِ آن سخن گفتن حکمت نباشد. چو کاری بی فُضولِ من بر آید
مرا در وی سخن گفتن نشاید و گر بینم که نابینا و چاه است
اگر خاموش بنشینم گناه است",1,حکما حضرت کسر مصلحت سخن بزرگمهر مهتر خاموش گفتندش بحث سخن وزیر مثال اطبااند طبیب دارو سقیم صواب سر سخن گفتن حکمت کاشت فضول سخن گفتن نشاید وگر نابینا چاه خاموش گناه,1,10,1
"هارون‌الرشید را چون مُلکِ دیارِ مصر مسلم شد گفت: به خلافِ آن طاغی که به غرورِ مُلکِ مصر دعویِ خدایی کرد، نبخشم این مملکت را مگر به خسیس‌ترینِ بندگان. سیاهی داشت نام او خَصِیب در غایتِ جهل. مُلکِ مصر به وی ارزانی داشت و گویند: عقل و درایتِ او تا به جایی بود که طایفه‌ای حُرّاثِ مصر شکایت آوردندش که پنبه کاشته بودیم بارانِ بی‌وقت آمد و تلف شد. گفت: پشم بایستی کاشتن! اگر دانش به روزی در فزودی
ز نادان تنگ‌روزی‌تر نبودی به نادانان چنان روزی رساند 
که دانا اندر آن عاجز بماند بخت و دولت به کاردانی نیست
جز به تأییدِ آسمانی نیست اوفتاده‌ست در جهان بسیار 
بی‌تمیز ارجمند و عاقلْ خوار کیمیاگر به غصّه مُرده و رنج 
ابله اندر خرابه یافته گنج",1,هارونالرشید ملک دیار مصر مسلم خلاف طاغی غرور ملک مصر دعوی خدا بخشید مملکت مگر خسیس بندگان سیاه نام خصیب غایت جهل ملک مصر ارزان عقل درایت طایف حراث مصر شکایت آوردندش پنبه کاشت باران بیوقت تلف پشم ایستاد کاشتن دانش روزید فزود نادان تنگروزیتر نادان چنان روزید رساند دانا اندر عاجز بخت دولت کاردان تأیید آسمان اوفتادهست جهان بیتمیز ارجمند عاقل خوار کیمیاگر غصه مرده رنج ابله اندر خرابه گنج,2,2,-1
"یکی را از مُلوک، کنیزکی چینی آوردند. خواست تا در حالتِ مستی با وی جمع آید. کنیزک ممانعت کرد. مَلِک در خشم رفت و مر او را به سیاهی بخشید که لبِ زِبَرینش از پَرّهِٔ بینی درگذشته بود و زیرینش به گریبان فرو هشته. هَیکلی که صَخْرالجِنّ از طلعتش بِرَمیدی و عَیْن‌القَطْر از بغلش بگندیدی. تو گویی تا قیامت زشت‌رویی
 بر او ختم است، و بر یوسف نِکویی چنان که ظریفان گفته‌اند: شخصی، نه چنان کَریه‌ْمنظر
 کز زشتیِ او خبر توان داد آن گه بغلی، نَعُوُذ بِاللّٰه 
مردار به آفتاب مرداد آورده‌اند که سیه را در آن مدت، نفس طالب بود و شهوت غالب؛ مِهرش بجنبید و مُهرش برداشت. بامدادان که مَلِک، کنیزک را جُست و نیافت، حکایت بگفتند. خشم گرفت و فرمود تا سیاه را با کنیزک استوار ببندند و از بام جوسق به قعر خندق در اندازند. یکی از وزرای نیک‌محضر روی شفاعت بر زمین نهاد و گفت: سیاه بیچاره را در این خطایی نیست که سایر بندگان و خدمتکاران به نوازش خداوندی مُتَعوِدند. گفت: اگر در مفاوضهٔ او شبی تأخیر کردی، چه شدی؟ که من او را افزون از قیمت کنیزک دلداری کردمی. گفت: ای خداوند روی زمین! نشنیده‌ای؟: تشنهٔ سوخته در چشمهٔ روشن چو رسید
تو مپندار که از پیلِ دَمان اندیشد مُلْحِدِ گُرْسِنِه در خانهٔ خالی بر خوان 
عقل باور نکند، کز رمضان اندیشد مَلِک را این لَطیفه پسند آمد و گفت: اکنون سیاه تو را بخشیدم؛ کنیزک را چه کنم؟ گفت: کنیزک، سیاه را بخش که نیم‌خوردهٔ او، هم او را شاید. هرگز آن را به دوستی مپسند 
که رود جایِ ناپسندیده تشنه را دل نخواهد آبِ زُلال
نیم‌خوردِ دهانِ گندیده",1,ملوک کنیزک چینی خواست حالت مست کنیزک ممانعت ملک خشم مر سیاه بخشید لب زبرین پره بینی درگذشته زیرین گریبان فرو هشته هیکل صخرالجن طلعت برمیدی عینالقطر بغل بگندیدی قیامت زشترویی ختم یوسف نکو چنانکه ظریف گفتهاند چنان کریهمنظر کز زشت خبر گه بغل نعوذ بالله مردار آفتاب مرداد آوردهاند سیه نفس طالب شهوت غالب مهر بجنبید مهر برداشت بامدادان ملک کنیزک جست حکایت بگفتند خشم فرمود سیاه کنیزک استوار بست بام جوسق قعر خندق انداخت وزرا نیکمحضر شفاعت زمین نهاد سیاه بیچاره خطا بندگان خدمتکار نوازش خداوند متعودند مفاوضه شب تأخیر کردی افزون قیمت کنیزک دلدار کردمی خداوند زمین نشنیدهای تشنه سوخته چشمه روشن مپندار پیل دمان اندیشید ملحد گرسنه خانه خال خوان عقل باور کز رمضان اندیشید ملک لطیفه پسند سیاه بخشید کنیزک کنیزک سیاه نیمخورده هرگز دوست مپسند رود ناپسندیده تشنه دل نخواهد_آب زلال نیمخورد دهان گندیده,2,2,0
"اسکندرِ رومی را پرسیدند: «دیارِ مشرق و مغرب به چه گرفتی؟ که ملوک پیشین را خَزاین و عمر و مُلک و لشکر بیش از این بوده است ایشان را چنین فتحی میسّر نشده». گفتا: «به عَونِ خدای، عَزَّوَجَلَّ، هر مملکتی را که گرفتم رعیّتش نیآزردم و نامِ پادشاهان جز به نکویی نبردم». بزرگش نخوانند اهل خرد 
که نامِ بزرگان به زشتی برد",1,اسکندر روم پرسید دیار مشرق مغرب ملوک پیشین خزاین عمر ملک لشکر فتح میسر عون خدا عزوجل مملکت رعیت نیآزردم نام پادشاه نکو برد خواند اهل خرد نام زشت برد,2,2,0
"یکی از بزرگان گفت پارسایی را: چه گویی در حقِ فلان عابد که دیگران در حقِ وی به طعنه سخن‌ها گفته‌اند؟ گفت: بر ظاهرش عیب نمی‌بینم و در باطنش غیب نمی‌دانم. هر که را، جامه پارسا، بینی
پارسا دان و نیک‌مرد انگار ور ندانی که در نهانش چیست
محتسِب را درونِ خانه چه کار؟",2,پارسا حق فلان عابد حق طعنه سخن گفتهاند ظاهر عیب نمیبینم باطن غیب نمیدانم جامه پارسا بینی پارسا دان نیکمرد انگار ور نهان چیست محتسب خانه کار,4,10,-1
